"artist_id";"artist_name";"artist_followers";"artist_popularity";"n_genres";"total_releases";"n_album";"n_single";"n_appears_on";"n_compilation"
"5he5w2lnU9x7JFhnwcekXX";"Skrillex";7063306;82;4;120;2;42;76;0
"4NHQUGzhtTLFvgF5SZesLK";"Tove Lo";1878125;77;10;82;8;21;53;0
"0lzV2CiahHRiGd6qpADtPS";"James Hersey";39226;61;1;27;0;10;17;0
"7dGJo4pcD2V6oG8kP0tJRR";"Eminem";25002330;93;4;240;31;20;184;5
"0QJIPDAEDILuo8AIq3pMuU";"M.I.A.";760044;67;4;62;9;15;38;0
"4EzkuveR9pLvDVFNx6foYD";"James Bay";2203877;78;3;35;3;15;17;0
"5K4W6rqBFWDnAN6FQUkS6x";"Kanye West";9362973;90;3;388;18;32;338;0
"0DdDnziut7wOo6cAYWVZC5";"KREAM";38805;68;7;32;0;20;12;0
"246dkjvS1zLTtiykXe5h60";"Post Malone";11963978;96;2;67;4;4;59;0
"0AJUYWKztkg5dnrHDIBv47";"MiC LOWRY";35499;45;0;10;0;9;1;0
"7guDJrEfX3qb6FEbdPA5qi";"Stevie Wonder";3336758;77;7;437;35;6;382;14
"3nFkdlSjzX9mRTtwJOzDYB";"JAY Z";4713249;81;7;377;0;9;368;0
"4kYGAK2zu9EAomwj3hXkXy";"JP Cooper";317373;75;5;57;2;21;34;0
"5X4LWwbUFNzPkEas04uU82";"DVBBS";838722;67;8;58;1;40;17;0
"1HY2Jd0NmPuamShAr6KMms";"Lady Gaga";6877841;91;2;117;16;35;64;2
"1hzfo8twXdOegF3xireCYs";"Milky Chance";1056117;71;1;6;4;2;0;0
"0gadJ2b9A4SKsB1RFkBb66";"Passenger";2064917;75;2;40;16;16;8;0
"2wY79sveU1sp5g7SokKOiI";"Sam Smith";8077097;90;1;74;3;20;50;1
"5Q81rlcTFh3k6DQJXPdsot";"Mura Masa";403742;68;2;39;4;20;15;0
"0C8ZW7ezQVs4URX5aX7Kqx";"Selena Gomez";14085832;89;3;112;5;36;70;1
"0C0XlULifJtAgn6ZNCW2eu";"The Killers";4366820;79;4;50;14;10;23;3
"2EMAnMvWE2eb56ToJVfCWs";"Bryson Tiller";3279129;79;6;45;4;13;28;0
"2FXC3k01G6Gw61bmprjgqS";"Hozier";2885433;83;3;22;3;14;5;0
"5lXfVoQxVgC5fpjkVqvNYn";"Isaiah";38265;60;1;12;1;8;3;0
"1Fr6agZ6iSM5Ynn2k4C8sc";"VÉRITÉ";159651;61;11;42;2;24;16;0
"7bXgB6jMjp9ATFy66eO08Z";"Chris Brown";8246737;88;5;652;22;104;526;0
"2FwJwEswyIUAljqgjNSHgP";"Snakehips";268832;69;6;34;0;24;10;0
"3iOvXCl6edW5Um0fXEBRXy";"The xx";3066870;72;5;25;4;16;5;0
"5LHRHt1k9lMyONurDHEdrp";"Tyga";4652612;86;6;320;27;67;226;0
"3Bd1cgCjtCI32PYvDC3ynO";"London Grammar";865833;67;5;17;3;9;5;0
"4WN5naL3ofxrVBgFpguzKo";"Rudimental";961984;78;7;87;5;55;27;0
"33ScadVnbm2X8kkUqOkC6Z";"Don Omar";3349099;79;5;246;12;38;196;0
"4Q6nIcaBED8qUel8bBx6Cr";"Jax Jones";422104;75;6;46;0;19;27;0
"7hOGhpa8RMSuDOWntGIAJt";"A R I Z O N A";194742;69;7;19;1;15;3;0
"26VFTg2z8YR0cCuwLzESi2";"Halsey";5459329;90;6;41;5;21;15;0
"2o5jDhtHVPhrJdv3cEQ99Z";"Tiësto";4140091;80;9;698;57;149;490;2
"4V8Sr092TqfHkfAA5fXXqG";"Luis Fonsi";5412562;84;4;149;19;42;88;0
"188VINPQh5dyNfLUkevKqf";"Olivia Holt";727817;64;5;32;0;16;16;0
"3zrUX1hQrUB9aXcOiyQLmN";"Stanaj";50929;59;1;32;0;17;15;0
"5JZ7CnR6gTvEMKX4g70Amv";"Lauv";1028459;86;3;29;2;11;16;0
"6T70tWxqyIpdVbsFvPzqM3";"La La Land Cast";7526;54;0;2;0;0;2;0
"6kXm2YCtdUOpRYNKeKhfue";"Ryan Gosling";19409;61;1;4;0;1;3;0
"0ZED1XzwlLHW4ZaG4lOT6m";"Julia Michaels";1529236;85;6;69;2;24;43;0
"21WS9wngs9AqFckK7yYJPM";"PnB Rock";1799584;77;5;154;6;26;122;0
"13y7CgLHjMVRMDqxdx0Xdo";"Gucci Mane";2609357;87;8;981;143;76;757;5
"2DaxqgrOhkeH0fpeiQq2f4";"Oasis";3712857;79;4;33;11;6;14;2
"0hEurMDQu99nJRq8pTxO14";"John Mayer";3531271;84;4;100;15;11;74;0
"3Fdm9TFJQCLmC3AWMuGExi";"Ugly God";1417484;65;4;34;1;6;27;0
"53XhwfbYqKCa1cC15pYq2q";"Imagine Dragons";17107336;91;2;88;6;29;53;0
"2R21vXR83lH98kGeO99Y66";"Anuel Aa";4993639;94;2;93;1;35;57;0
"2HPaUgqeutzr3jx5a9WyDV";"PARTYNEXTDOOR";1778501;75;7;54;8;7;39;0
"7KMqksf0UMdyA0UCf4R3ux";"James Blunt";1850734;75;3;40;7;12;21;0
"00me4Ke1LsvMxt5kydlMyU";"Cosculluela";2325516;79;5;173;5;27;141;0
"6vWDO969PvNqNYHIOW5v0m";"Beyoncé";17784393;85;4;150;11;43;95;1
"68Uwx1d3EbjDJhYsLjqvIq";"Emma Stone";15334;63;1;5;0;1;4;0
"2snm3HmsnDUDxbIChdl2Oj";"Justin Hurwitz";37556;66;2;11;3;0;8;0
"46SHBwWsqBkxI7EeeBEQG7";"Kodak Black";4482594;89;4;135;13;34;88;0
"6LuN9FCkKOj5PcnpouEgny";"Khalid";5373976;95;1;118;3;48;67;0
"4lDBihdpMlOalxy1jkUbPl";"Grey";36001;76;2;48;0;25;23;0
"1XLjkBxFokuDTlHt0mQkRe";"Thomas Gold";108662;56;12;524;2;70;452;0
"2kucQ9jQwuD8jWdtR9Ef38";"Sam Hunt";1552052;73;2;33;2;12;19;0
"4AVFqumd2ogHFlRbKIjp1t";"Alesso";2613910;79;7;198;1;41;156;0
"5338fdSzGNOFD4cxAxDTeq";"Aaron Carter";132726;51;2;30;6;8;16;0
"7jdFEYD2LTYjfwxOdlVjmc";"KALEO";683911;69;3;10;1;3;6;0
"0rvjqX7ttXeg3mTy8Xscbt";"Journey";1932957;74;6;47;15;0;27;5
"6jJ0s89eD6GaHleKKya26X";"Katy Perry";12422856;84;3;116;23;40;53;0
"2XnBwblw31dfGnspMIwgWz";"Axwell /\ Ingrosso";1676340;74;6;25;1;20;4;0
"4Rxn7Im3LGfyRkY2FlHhWi";"Nick Jonas";4079481;75;5;64;5;30;29;0
"4TrraAsitQKl821DQY42cZ";"Sigrid";298429;73;4;29;1;18;10;0
"6M2wZ9GZgrQXHCFfjv46we";"Dua Lipa";10134514;89;4;79;5;38;36;0
"15UsOTVnJzReFVN1VCnxy4";"XXXTENTACION";11406763;95;2;40;7;10;23;0
"4ON1ruy5ijE7ZPQthbrkgI";"Burak Yeter";75555;66;1;75;1;52;22;0
"74KM79TiuVKeVCqs8QtB0B";"Sabrina Carpenter";2189339;73;4;50;3;27;20;0
"3Nrfpe0tUJi4K4DXYWgMUX";"BTS";9505975;89;1;36;16;16;4;0
"1xHQO9GJIW9OXHxGBISYc5";"Marian Hill";374171;66;1;42;4;14;24;0
"0X2BH1fck6amBIoJhDVmmJ";"Ellie Goulding";6139566;83;8;97;12;22;63;0
"0XNvr6bnNywV946ZKaJtr0";"Joakim Lundell";99406;59;2;24;1;21;2;0
"7H55rcKCfwqkyDFH9wpKM6";"Christina Perri";1812771;74;5;37;3;12;22;0
"2sil8z5kiy4r76CRTXxBCA";"The Goo Goo Dolls";1175466;72;5;41;19;8;13;1
"3rIZMv9rysU7JkLzEaC5Jp";"Snow Patrol";1593560;72;6;43;11;17;11;4
"4LEiUm1SRbFMgfqnQTwUbQ";"Bon Iver";2214036;74;7;26;3;3;20;0
"0QHgL1lAIqAw0HtD7YldmP";"DJ Khaled";3655139;78;9;177;31;38;107;1
"6XyY86QOPPrYVGvF9ch6wz";"Linkin Park";11783765;85;4;67;24;24;19;0
"7rkW85dBwwrJtlHRDkJDAC";"NAV";1216582;79;6;41;6;5;30;0
"5H1nN1SzW0qNeUEZvuXjAj";"Danny Ocean";1373264;76;6;13;0;10;3;0
"00FQb4jTyendYWaN8pK0wa";"Lana Del Rey";7887541;83;3;82;10;33;39;0
"6fXEqmGQEt6ONuqVmwrN46";"Bag Raiders";143399;59;6;28;1;12;15;0
"2qxJFvFYMEDqd7ui6kSAcq";"Zedd";4027224;85;7;192;3;47;142;0
"07YZf4WDAMNwqr4jfgOZ8y";"Jason Derulo";6572968;83;6;109;10;36;61;2
"2SrSdSvpminqmStGELCSNd";"Stormzy";744610;70;2;71;2;9;60;0
"1mXAhKnZEdF6rotyyd4GBi";"MC Kevinho";5986009;79;2;57;0;37;20;0
"5DUlefCLzVRzNWaNURTFpK";"Cali Y El Dandee";1906794;73;7;40;2;15;23;0
"27mFvqQj8KpjmdKIqcw1mG";"Ayo & Teo";568852;65;1;13;0;12;1;0
"1bqxdqvUtPWZri43cKHac8";"MAX";272798;73;4;102;1;59;42;0
"6sq1yF0OZEWA4xoXVKW1L9";"Alejandro Fernandez";2037270;77;7;126;27;32;67;0
"1z7b1Pr1rSlvWRzsW3HOrS";"Russ";2098717;82;2;125;12;95;18;0
"163tK9Wjr9P9DmM0AVK7lm";"Lorde";4162817;77;6;46;6;7;33;0
"2ZRQcIgzPCVaT9XKhXZIzh";"Gryffin";211138;75;6;52;0;23;29;0
"0hCNtLu0JehylgoiP8L4Gh";"Nicki Minaj";14572278;91;6;428;30;45;353;0
"7KUri7klyLaIFXLcuuOMCd";"Stargate";8484;62;1;19;0;12;7;0
"3AVfmawzu83sp94QW7CEGm";"Astrid S";346528;72;7;54;0;26;28;0
"0TnOYISbd1XYRBk9myaseg";"Pitbull";6723840;81;5;532;29;81;419;3
"2h93pZq0e7k5yf4dywlkpM";"Frank Ocean";4156555;82;7;37;2;10;25;0
"3gbaHBYDy62irTs0ZsHNmi";"Wiktoria";24366;59;3;16;0;15;1;0
"1CQLPgGkfHrxNMqrXt5oWS";"Robin Bengtsson";19292;49;4;31;0;26;5;0
"48Z0MG7G6UQeWYibHpXgQe";"Nano";11696;56;1;31;0;15;16;0
"293zczrfYafIItmnmM3coR";"Chuck Berry";822748;66;8;154;45;4;104;1
"0Jsk5iYMr5aNjHury7blm1";"Boef";613219;73;1;61;4;18;39;0
"2YZyLoL8N0Wb9xBt1NhZWg";"Kendrick Lamar";12027021;89;5;326;15;24;287;0
"3AA28KZvwAUcZuOKwyblJQ";"Gorillaz";4051534;79;3;63;11;37;9;6
"5yG7ZAZafVaAlMTeBybKAL";"Iggy Azalea";3795026;74;6;89;6;23;60;0
"3MHaV05u0io8fQbZ2XPtlC";"Prince Royce";3817047;82;6;75;7;15;53;0
"4xRYI6VqpkE3UwrDrAZL8L";"Logic";3435864;86;5;112;14;17;81;0
"3XHO7cRUPCLOr6jwp8vsx5";"alt-J";2150150;73;2;29;4;20;5;0
"3tVQdUvClmAT7URs9V3rsp";"WizKid";226774;77;5;229;4;31;194;0
"0uGk2czvcpWQA383Im6ajf";"Maggie Lindemann";603635;70;4;17;0;12;5;0
"6KImCVD70vtIoJWnq6nGn3";"Harry Styles";4038547;75;3;11;1;3;7;0
"2P5sC9cVZDToPxyomzF1UH";"Joey Bada$$";1291892;74;8;109;6;31;72;0
"0qTZZWLzuD59Un5r1speHm";"Chris Jeday";791206;72;5;15;0;5;10;0
"2cFrymmkijnjDg9SS92EPM";"blackbear";1915941;81;2;78;5;25;48;0
"6vXTefBL93Dj5IqAWq6OTv";"French Montana";2529806;84;6;608;18;92;498;0
"6ltzsmQQbmdoHHbLZ4ZN25";"Lord Huron";480228;74;5;23;4;9;10;0
"31W5EY0aAly4Qieq6OFu6I";"A Boogie Wit da Hoodie";2653615;89;2;100;7;29;64;0
"6icQOAFXDZKsumw3YXyusw";"Lil Yachty";4757597;83;5;286;5;37;244;0
"74XFHRwlV6OrjEM0A2NCMF";"Paramore";4038745;77;5;13;7;5;1;0
"699OTQXzgjhIYAHMy9RyPD";"Playboi Carti";2108316;80;8;70;2;3;65;0
"5Pwc4xIPtQLFEnJriah9YJ";"OneRepublic";7072453;82;7;87;6;27;53;1
"4UXqAaa6dQYAk18Lv7PEgX";"Fall Out Boy";6080678;83;3;100;17;23;59;1
"1xU878Z1QtBldR7ru9owdU";"Phoenix";1425634;68;7;49;10;29;10;0
"4Ui2kfOqGujY81UcPrb5KE";"HAIM";754476;65;8;35;3;16;16;0
"2ayNSoKPCRAfjp6hQ76hRu";"Nacho";1385354;75;4;72;2;28;42;0
"7jefIIksOi1EazgRTfW2Pk";"Electric Light Orchestra";1350756;73;10;54;17;7;26;4
"08GQAI4eElDnROBrJRGE0X";"Fleetwood Mac";2979427;81;5;56;28;5;11;12
"5YGY8feqx7naU7z4HrwZM6";"Miley Cyrus";8148473;84;3;98;8;27;63;0
"4bL2B6hmLlMWnUEZnorEtG";"Felix Jaehn";747662;77;4;98;2;40;56;0
"4AKwRarlmsUlLjIwt38NLw";"Ofenbach";223738;69;1;22;0;13;9;0
"0GfYO21pue5u0sVEYk9HZO";"Salvador Sobral";63598;46;2;14;2;8;4;0
"3c55dzx6W0ZFs0frtEgIsm";"Sunstroke Project";13420;43;1;16;0;15;1;0
"3qMyym6ov558YgVuOOscEm";"Blanche";14599;47;1;6;0;6;0;0
"5xUf6j4upBrXZPg6AI4MRK";"Soundgarden";1780204;70;8;31;14;4;9;4
"2ziB7fzrXBoh1HUPS6sVFn";"Audioslave";2008069;70;8;15;3;8;4;0
"0XHiH53dHrvbwfjYM7en7I";"Chris Cornell";871668;64;5;50;8;13;29;0
"5pUo3fmmHT8bhCyHE52hA6";"Liam Payne";3026190;78;5;40;0;16;24;0
"4nDoRrQiYLoBzwC5BhVJzF";"Camila Cabello";8766390;85;4;55;1;18;36;0
"12Chz98pHFMPJEknJQMWvI";"Muse";4625528;79;5;27;11;11;5;0
"7blkMNJv8n9ceP9zlA4W2U";"Shawn Hook";53815;52;1;16;0;7;9;0
"2a0uxJgbvvIRI4GX8pYfcr";"J Hus";382162;68;2;35;3;16;16;0
"5CCwRZC6euC8Odo6y9X8jr";"Rita Ora";3821521;83;6;81;1;38;42;0
"1bj5GrcLom5gZFF5t949Xl";"Martin Solveig";950706;68;11;106;8;43;55;0
"3AlRiyjMywTVNzTcHbf9QT";"Lil' Kleine";708254;71;2;27;3;6;18;0
"17lzZA2AlOHwCwFALHttmp";"2 Chainz";4267402;87;7;712;30;42;640;0
"7FNnA9vBm6EKceENgCGRMb";"Anitta";7186413;84;3;189;5;47;137;0
"0tmwSHipWxN12fsoLcFU3B";"Manuel Turizo";3348860;88;2;24;0;15;9;0
"06HL4z0CvFAxyc27GXpf02";"Taylor Swift";18397625;88;3;84;23;10;50;1
"7tYKF4w9nC0nq9CsPZTHyP";"SZA";2417765;82;5;67;5;6;56;0
"1IueXOQyABrMOprrzwQJWN";"Sigala";747279;77;4;48;1;34;13;0
"5nkYRuiIHg2xXHFC8bfosJ";"ItaloBrothers";301007;68;3;54;3;30;21;0
"3JhNCzhSMTxs9WLGJJxWOY";"Macklemore";1242635;77;1;38;3;13;22;0
